"row_id";"pedido";"data_pedido";"data_envio";"tipo_envio";"id_cliente";"nome_cliente";"Segmento";"Cidade";"Estado";"pais";"regiao";"material";"Categoria";"sub_categoria";"desc_material";"Vendas";"Quantidade";"Desconto";"Lucro"
11;MX-2022-134096;"9/28/2022";"10/2/2022";Classe padrão;DG-13000;Diogo Goncalves;Varejo;São Paulo;São Paulo;Brasil;Sul;MAT-FI-10001314;Material de escritório;Fichários;Wilson Jones Reforço para fichário, Durável;"120,6";3;"0";"34,8"
12;MX-2022-156335;"3/6/2022";"3/13/2022";Classe padrão;VC-21250;Vinícius Cardoso;Varejo;Managua;Managua;Nicarágua;Central;MAT-CO-10002112;Material de escritório;Colchetes;Accos Grampos, Embalagem com 12;"207,6";3;"0";"95,4"
13;MX-2022-156335;"3/6/2022";"3/13/2022";Classe padrão;VC-21250;Vinícius Cardoso;Varejo;Managua;Managua;Nicarágua;Central;MÓV-CA-10004486;Móveis;Cadeiras;HON Cadeira dobrável, Preto;"2106,4";4;"0";"504,8"
14;MX-2023-121923;"9/24/2023";"10/1/2023";Classe padrão;MC-18910;Melissa Cunha;Pequenas e Medias Empresas;Managua;Managua;Nicarágua;Central;MAT-EN-10001401;Material de escritório;Envelopes;Kraft Com lacre, Prata;"801";3;"0";"376,2"
15;MX-2023-135706;"10/18/2023";"10/23/2023";Classe padrão;JA-15625;Júlia Almeida;Varejo;Brasília;Distrito Federal;Brasil;Sul;MAT-AR-10002737;Material de escritório;Arte;Stanley Tela, Embalagem tipo bulk;"1326,4";4;"0";"357,6"
16;MX-2023-135706;"10/18/2023";"10/23/2023";Classe padrão;JA-15625;Júlia Almeida;Varejo;Brasília;Distrito Federal;Brasil;Sul;MAT-CO-10002418;Material de escritório;Colchetes;Advantus Prendedores de papel, Metal;"129,4";1;"0";"10,2"
17;US-2022-126655;"6/27/2022";"7/2/2022";Classe padrão;GO-14785;Giovanna Oliveira;Grande Empresa;San Miguelito;Panamá;Panamá;Central;MAT-EN-10001346;Material de escritório;Envelopes;Jiffy Fita dupla face, Vermelho;"188,4";2;"0,4";-66
18;US-2022-126655;"6/27/2022";"7/2/2022";Classe padrão;GO-14785;Giovanna Oliveira;Grande Empresa;San Miguelito;Panamá;Panamá;Central;MÓV-MÓ-10002468;Móveis;Móveis;Deflect-O Moldura, Embalagem multipack;"3082,8";7;"0,4";-1491
19;US-2022-126655;"6/27/2022";"7/2/2022";Classe padrão;GO-14785;Giovanna Oliveira;Grande Empresa;San Miguelito;Panamá;Panamá;Central;MAT-EN-10004794;Material de escritório;Envelopes;GlobeWeis Malote, Prata;"401,76";2;"0,4";-60,64
20;US-2022-126655;"6/27/2022";"7/2/2022";Classe padrão;GO-14785;Giovanna Oliveira;Grande Empresa;San Miguelito;Panamá;Panamá;Central;MAT-EN-10003820;Material de escritório;Envelopes;Jiffy Envelope com fecho, Reciclado;"87,84";3;"0,4";-48,36
21;MX-2022-167759;"12/20/2022";"12/26/2022";Classe padrão;JS-15610;José Souza;Grande Empresa;San Cristóbal de Las Casas;Chiapas;México;Norte;MÓV-CA-10004369;Móveis;Cadeiras;HON Cadeira de balanço, Preto;"2734,72";4;"0,2";"957,12"
22;MX-2022-163139;"10/30/2022";"11/3/2022";Segunda classe;VF-21055;Victor Ferreira;Varejo;Santiago;Santiago;Chile;Sul;TEC-AC-10002771;Tecnologia;Acessórios;Enermax Mouse, Durável;"270";1;"0";"59,4"
23;MX-2022-163139;"10/30/2022";"11/3/2022";Segunda classe;VF-21055;Victor Ferreira;Varejo;Santiago;Santiago;Chile;Sul;MAT-MA-10000059;Material de escritório;Materiais;Acme Estilete, Retangular;"2070";9;"0";"662,4"
24;US-2023-119753;"10/3/2023";"10/8/2023";Classe padrão;EC-13195;Eduarda Castro;Grande Empresa;Cidade do Panamá;Panamá;Panamá;Central;MAT-FI-10002744;Material de escritório;Fichários;Acco Encadernadora, Transparente;"606,6";3;"0,4";-202,2
25;US-2021-133970;"9/27/2021";"9/30/2021";Primeira classe;SA-20215;Samuel Almeida;Varejo;Hermosillo;Sonora;México;Norte;MÓV-MÓ-10004431;Móveis;Móveis;Deflect-O Relógio de parede, Preto;"1811,16";9;"0,4";-755,64
26;MX-2023-120607;"6/18/2023";"6/25/2023";Classe padrão;SP-20620;Sophia Pereira;Grande Empresa;Milpa Alta;Distrito Federal;México;Norte;TEC-CO-10004677;Tecnologia;Copiadoras;HP Copiadora, Colorida;"3261,8632";2;"0,002";"647,0632"
27;MX-2023-120607;"6/18/2023";"6/25/2023";Classe padrão;SP-20620;Sophia Pereira;Grande Empresa;Cidade do México;Distrito Federal;México;Norte;MAT-AR-10000951;Material de escritório;Armazenamento;Rogers Caixa, Tamanho real;"800";5;"0";"344"
28;US-2022-167129;"5/25/2022";"6/1/2022";Classe padrão;RF-20050;Rodrigo Fernandes;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;MAT-FI-10000837;Material de escritório;Fichários;Wilson Jones Encadernadora, Durável;"1412,88";7;"0,4";-730,52
29;US-2022-167129;"5/25/2022";"6/1/2022";Classe padrão;RF-20050;Rodrigo Fernandes;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;MAT-CO-10003399;Material de escritório;Colchetes;Stockwell Percevejo niquelado, Metal;"218,4";4;"0,4";-32,8
30;US-2022-167129;"5/25/2022";"6/1/2022";Classe padrão;RF-20050;Rodrigo Fernandes;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;TEC-TE-10003197;Tecnologia;Telefones;Motorola Telefone do escritório, Azul;"1148,16";4;"0,4";-498,24
31;US-2022-167129;"5/25/2022";"6/1/2022";Classe padrão;RF-20050;Rodrigo Fernandes;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;MAT-AR-10003036;Material de escritório;Arte;Crayola Marcador, Azul;"192,72";2;"0,4";"28,72"
32;US-2022-167129;"5/25/2022";"6/1/2022";Classe padrão;RF-20050;Rodrigo Fernandes;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;MAT-AC-10000856;Material de escritório;Eletrônicos;Breville Torradeira, Preto;"1522,8";5;"0,4";-990,2
33;US-2022-167129;"5/25/2022";"6/1/2022";Classe padrão;RF-20050;Rodrigo Fernandes;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;TEC-CO-10004237;Tecnologia;Copiadoras;Sharp Fax, Digital;"9417,7824";8;"0,402";-6017,4176
34;US-2022-167129;"5/25/2022";"6/1/2022";Classe padrão;RF-20050;Rodrigo Fernandes;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;MAT-AR-10001838;Material de escritório;Arte;Stanley Apontador, Metal;"104,16";1;"0,4";-7,04
35;MX-2023-100727;"5/15/2023";"5/18/2023";Primeira classe;EF-13510;Emily Fernandes;Grande Empresa;Cidade do México;Distrito Federal;México;Norte;MAT-MA-10002935;Material de escritório;Materiais;Fiskars Estilete, Retangular;"3007,2";14;"0";"1290,8"
36;MX-2023-100727;"5/15/2023";"5/18/2023";Primeira classe;EF-13510;Emily Fernandes;Grande Empresa;Cidade do México;Distrito Federal;México;Norte;MAT-MA-10001381;Material de escritório;Materiais;Acme Abridor de carta, Aço;"1381,8";7;"0";"537,6"
37;MX-2023-100727;"5/15/2023";"5/18/2023";Primeira classe;EF-13510;Emily Fernandes;Grande Empresa;Cidade do México;Distrito Federal;México;Norte;MAT-MA-10001508;Material de escritório;Materiais;Kleencut Estilete, Aço;"908";4;"0";"317,6"
38;MX-2023-154739;"7/4/2023";"7/7/2023";Segunda classe;SA-20440;Sofia Almeida;Grande Empresa;Artemisa;Artemisa;Cuba;Caribe;MÓV-ME-10004436;Móveis;Mesas;Chromcraft Mesa de centro, Retangular;"5293,2";3;"0";"2646,6"
39;MX-2023-154739;"7/4/2023";"7/7/2023";Segunda classe;SA-20440;Sofia Almeida;Grande Empresa;Artemisa;Artemisa;Cuba;Caribe;MÓV-ES-10001334;Móveis;Estantes;Ikea Estante, Branco;"3336";4;"0";"1067,2"
40;MX-2023-154739;"7/4/2023";"7/7/2023";Segunda classe;SA-20440;Sofia Almeida;Grande Empresa;Artemisa;Artemisa;Cuba;Caribe;MAT-CO-10003965;Material de escritório;Colchetes;Advantus Elásticos, Embalagem com 12;"427,2";4;"0";"4"
41;MX-2023-121398;"12/9/2023";"12/11/2023";Segunda classe;AA-10825;Arthur Alves;Grande Empresa;La Romana;La Romana;República Dominicana;Caribe;MAT-MA-10004629;Material de escritório;Materiais;Fiskars Cortador de papel, Retangular;"624";3;"0,2";"85,8"
42;MX-2022-121839;"6/18/2022";"6/22/2022";Segunda classe;RA-19690;Rafaela Alves;Varejo;Milpa Alta;Distrito Federal;México;Norte;TEC-TE-10004696;Tecnologia;Telefones;Motorola Smart Phone, Azul;"3460,8";4;"0";"1556,8"
43;MX-2023-142643;"10/29/2023";"11/2/2023";Classe padrão;LS-17815;Luis Souza;Varejo;San Juan del Río;Querétaro;México;Norte;TEC-MÁ-10000856;Tecnologia;Máquinas;Panasonic Inkjet, Branco;"4140";2;"0";"455,2"
44;MX-2023-142643;"10/29/2023";"11/2/2023";Classe padrão;LS-17815;Luis Souza;Varejo;San Juan del Río;Querétaro;México;Norte;MAT-AC-10003188;Material de escritório;Eletrônicos;Hamilton Beach Forno, Preto;"7223,6";2;"0";"505,6"
45;MX-2023-142643;"10/29/2023";"11/2/2023";Classe padrão;LS-17815;Luis Souza;Varejo;San Juan del Río;Querétaro;México;Norte;TEC-AC-10001296;Tecnologia;Acessórios;Memorex Mouse, Econômico;"563,4";3;"0";"39"
46;MX-2023-164959;"1/17/2023";"1/18/2023";No mesmo dia;LC-16960;Leonardo Correia;Pequenas e Medias Empresas;Goiânia;Goiás;Brasil;Sul;MÓV-CA-10004556;Móveis;Cadeiras;Novimex Cadeira dobrável, Par;"1689,6";3;"0";"405"
47;US-2021-151372;"4/28/2021";"5/3/2021";Classe padrão;AA-10240;Alice Araujo;Varejo;Santo Domingo;Distrito Nacional;República Dominicana;Caribe;MAT-AR-10003252;Material de escritório;Armazenamento;Eldon Bandejas, Metal;"1254,4";5;"0,2";-0,6
48;US-2021-151372;"4/28/2021";"5/3/2021";Classe padrão;AA-10240;Alice Araujo;Varejo;Santo Domingo;Distrito Nacional;República Dominicana;Caribe;TEC-CO-10000153;Tecnologia;Copiadoras;Canon Copiadora para uso pessoal, Colorida;"1534,0752";2;"0,202";"361,2752"
49;MX-2020-127145;"6/13/2020";"6/18/2020";Classe padrão;RP-20200;Ryan Pinto;Varejo;São Benedito;Ceará;Brasil;Sul;MÓV-MÓ-10003663;Móveis;Móveis;Advantus Lâmpada, Preto;"267,6";2;"0";"74,8"
50;MX-2023-100783;"5/6/2023";"5/10/2023";Classe padrão;MS-18205;Maria Santos;Grande Empresa;Medellín;Antioquia;Colômbia;Sul;MAT-CO-10001898;Material de escritório;Colchetes;Accos Clips de papel, Embalagem com 12;"449";5;"0";"85"
51;MX-2020-168662;"10/14/2020";"10/19/2020";Segunda classe;KG-16255;Kauã Gomes;Grande Empresa;Toluca;México;México;Norte;MAT-MA-10002131;Material de escritório;Materiais;Stiletto Abridor de carta, Retangular;"668,8";4;"0";"287,2"
52;US-2020-150987;"4/3/2020";"4/7/2020";Segunda classe;EA-13480;Emily Alves;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;TEC-CO-10004173;Tecnologia;Copiadoras;Hewlett Fax e copiadora, Par;"2306,7252";3;"0,402";-856,4748
53;US-2020-150987;"4/3/2020";"4/7/2020";Segunda classe;EA-13480;Emily Alves;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;TEC-CO-10000153;Tecnologia;Copiadoras;Canon Copiadora para uso pessoal, Colorida;"1724,3928";3;"0,402";-34,8072
54;US-2020-150987;"4/3/2020";"4/7/2020";Segunda classe;EA-13480;Emily Alves;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;MAT-AC-10000709;Material de escritório;Eletrônicos;KitchenAid Forno, Preto;"6834,96";3;"0,4";-797,64
55;US-2020-150987;"4/3/2020";"4/7/2020";Segunda classe;EA-13480;Emily Alves;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;MAT-EN-10004625;Material de escritório;Envelopes;Ames Com lacre, Reciclado;"277,2";2;"0,4";"41,2"
56;MX-2022-156013;"6/1/2022";"6/6/2022";Classe padrão;DS-13030;Diogo Sousa;Pequenas e Medias Empresas;Santo Domingo;Distrito Nacional;República Dominicana;Caribe;MAT-CO-10003399;Material de escritório;Colchetes;Stockwell Percevejo niquelado, Metal;"218,4";3;"0,2";"30"
57;MX-2022-156013;"6/1/2022";"6/6/2022";Classe padrão;DS-13030;Diogo Sousa;Pequenas e Medias Empresas;Santo Domingo;Distrito Nacional;República Dominicana;Caribe;MÓV-ES-10001838;Móveis;Estantes;Bush Par, Preto;"2005,44";4;"0,4";-133,76
58;MX-2020-137897;"5/18/2020";"5/21/2020";Segunda classe;JM-15580;José Melo;Varejo;Tulancingo;Hidalgo;México;Norte;TEC-TE-10001342;Tecnologia;Telefones;Nokia Carregador, Tamanho real;"21245";5;"0";"4886"
59;US-2020-134950;"8/25/2020";"8/29/2020";Classe padrão;NF-19240;Nicolash Ferreira;Varejo;Cidade do Panamá;Panamá;Panamá;Central;MAT-AR-10001866;Material de escritório;Arte;Sanford Marcadores de texto, Tamanhos variados;"227,16";3;"0,4";-117,84
60;MX-2022-152611;"10/12/2022";"10/18/2022";Classe padrão;DS-13030;Diogo Sousa;Pequenas e Medias Empresas;Pinheiro;Maranhão;Brasil;Sul;TEC-TE-10003922;Tecnologia;Telefones;Samsung Telefone do escritório, Azul;"3913,2";9;"0";"1447,2"
61;MX-2020-155488;"10/22/2020";"10/28/2020";Classe padrão;CS-12220;Carla Silva;Varejo;La Paz;Baixa Califórnia do Sul;México;Norte;MAT-AC-10003848;Material de escritório;Eletrônicos;Hoover Liquidificador, Branco;"635,4";1;"0";"209,6"
62;MX-2023-116337;"5/16/2023";"5/16/2023";No mesmo dia;MS-18205;Maria Santos;Grande Empresa;Lençóis Paulista;São Paulo;Brasil;Sul;MÓV-ES-10003326;Móveis;Estantes;Safco Estante tradicional, Metal;"8752,2";3;"0";"1399,8"
63;US-2021-164609;"8/27/2021";"8/29/2021";Segunda classe;LM-16885;Leila Martins;Varejo;Tegucigalpa;Francisco Morazán;Honduras;Central;MÓV-ES-10000391;Móveis;Estantes;Ikea Biblioteca, Preto;"4376,88";3;"0,4";-2480,52
64;MX-2023-165442;"3/14/2023";"3/17/2023";Primeira classe;BF-11530;Breno Ferreira;Pequenas e Medias Empresas;Ciudad Madero;Tamaulipas;México;Norte;MAT-FI-10001257;Material de escritório;Fichários;Acco Encadernadora, Reciclado;"686";2;"0";"267,2"
65;MX-2023-165442;"3/14/2023";"3/17/2023";Primeira classe;BF-11530;Breno Ferreira;Pequenas e Medias Empresas;Ciudad Madero;Tamaulipas;México;Norte;MAT-FI-10002581;Material de escritório;Fichários;Acco Pasta argolada, Transparente;"487";5;"0";"175"
66;US-2021-104997;"11/6/2021";"11/12/2021";Classe padrão;NR-19300;Nicole Ribeiro;Varejo;La Ceiba;Atlántida;Honduras;Central;MÓV-ME-10000799;Móveis;Mesas;HON Mesa de treinamento, Retangular;"1321,08";2;"0,7";-924,92
67;MX-2020-165673;"6/1/2020";"6/6/2020";Classe padrão;NS-19210;Nicolas Souza;Grande Empresa;Guantânamo;Guantânamo;Cuba;Caribe;MAT-PA-10002155;Material de escritório;Papel;Eaton Papel de pergaminho, Premium;"179,6";2;"0";"57,2"
68;MX-2020-165673;"6/1/2020";"6/6/2020";Classe padrão;NS-19210;Nicolas Souza;Grande Empresa;Guantânamo;Guantânamo;Cuba;Caribe;TEC-CO-10003597;Tecnologia;Copiadoras;Hewlett Fax e copiadora, Vermelho;"6356,262";5;"0,002";"2661,262"
69;MX-2022-164021;"7/24/2022";"7/30/2022";Classe padrão;BC-11140;Beatriz Castro;Varejo;Bello;Antioquia;Colômbia;Sul;MÓV-ES-10004606;Móveis;Estantes;Sauder Estante tradicional, Preto;"8746,8";3;"0";"4110,6"
70;MX-2022-164021;"7/24/2022";"7/30/2022";Classe padrão;BC-11140;Beatriz Castro;Varejo;Bello;Antioquia;Colômbia;Sul;MÓV-MÓ-10003988;Móveis;Móveis;Deflect-O Lâmpada, Preto;"759,6";6;"0";"379,2"
71;US-2023-120194;"9/12/2023";"9/19/2023";Classe padrão;VD-21445;Vitór Dias;Grande Empresa;Abreu e Lima;Pernambuco;Brasil;Sul;MÓV-ME-10001141;Móveis;Mesas;Chromcraft Mesa de conferência, Retangular;"9282,56";2;"0,2";-812,24
72;US-2020-132388;"2/24/2020";"2/28/2020";Classe padrão;GM-14470;Gabriela Martins;Varejo;Santo Domingo;Distrito Nacional;República Dominicana;Caribe;TEC-MÁ-10004627;Tecnologia;Máquinas;Okidata Impressora, Durável;"1074,48";2;"0,7";-1217,92
73;MX-2021-156720;"2/18/2021";"2/23/2021";Classe padrão;FC-14200;Felipe Costa;Grande Empresa;Monterrey;Novo Leão;México;Norte;MAT-MA-10002650;Material de escritório;Materiais;Stiletto Cortador de papel, Azul;"285";1;"0";"122,4"
74;MX-2021-156720;"2/18/2021";"2/23/2021";Classe padrão;FC-14200;Felipe Costa;Grande Empresa;Monterrey;Novo Leão;México;Norte;TEC-AC-10003433;Tecnologia;Acessórios;Memorex Pen drive, Econômico;"980";5;"0";"205"
75;MX-2021-156720;"2/18/2021";"2/23/2021";Classe padrão;FC-14200;Felipe Costa;Grande Empresa;Monterrey;Novo Leão;México;Norte;MAT-FI-10004660;Material de escritório;Fichários;Cardinal Divisórias, Transparente;"89,6";2;"0";"39,2"
76;MX-2021-156720;"2/18/2021";"2/23/2021";Classe padrão;FC-14200;Felipe Costa;Grande Empresa;Monterrey;Novo Leão;México;Norte;MAT-EN-10001718;Material de escritório;Envelopes;Jiffy Com lacre, Vermelho;"1357";5;"0";"312"
77;US-2023-157630;"6/25/2023";"6/29/2023";Classe padrão;LB-16915;Leonardo Barbosa;Varejo;Lima;Lima;Peru;Sul;MAT-MA-10003427;Material de escritório;Materiais;Fiskars Tesouras, Azul;"185,28";2;"0,4";-83,52
78;US-2023-157630;"6/25/2023";"6/29/2023";Classe padrão;LB-16915;Leonardo Barbosa;Varejo;Lima;Lima;Peru;Sul;MAT-AR-10002257;Material de escritório;Armazenamento;Smead Armários, Tamanho real;"1587,6";2;"0,4";"158,4"
79;US-2023-157630;"6/25/2023";"6/29/2023";Classe padrão;LB-16915;Leonardo Barbosa;Varejo;Lima;Lima;Peru;Sul;MAT-MA-10000797;Material de escritório;Materiais;Kleencut Tesouras, Retangular;"1217,16";7;"0,4";-20,44
80;US-2020-119935;"6/14/2020";"6/18/2020";Classe padrão;KB-16465;Kauê Barbosa;Varejo;San Miguelito;Panamá;Panamá;Central;MÓV-MÓ-10000525;Móveis;Móveis;Tenex Lâmpada, Embalagem multipack;"227,88";3;"0,4";-7,92
81;US-2020-119935;"6/14/2020";"6/18/2020";Classe padrão;KB-16465;Kauê Barbosa;Varejo;San Miguelito;Panamá;Panamá;Central;MÓV-CA-10003783;Móveis;Cadeiras;Office Star Cadeira de praia, Par;"3230,64";14;"0,4";-1240,96
82;US-2020-119935;"6/14/2020";"6/18/2020";Classe padrão;KB-16465;Kauê Barbosa;Varejo;San Miguelito;Panamá;Panamá;Central;TEC-AC-10002930;Tecnologia;Acessórios;Enermax Cartão de memória, Durável;"1375,2";3;"0,4";-229,2
83;US-2020-119935;"6/14/2020";"6/18/2020";Classe padrão;KB-16465;Kauê Barbosa;Varejo;San Miguelito;Panamá;Panamá;Central;MAT-AR-10002860;Material de escritório;Arte;Crayola Marcadores de texto, Tamanhos variados;"395,4";5;"0,4";-198,6
84;MX-2022-119970;"6/26/2022";"7/2/2022";Classe padrão;MS-18220;Maria Silva;Varejo;Cidade do México;Distrito Federal;México;Norte;MAT-AR-10002439;Material de escritório;Armazenamento;Eldon Armários, Tamanho real;"2639,2";2;"0";"52,4"
85;MX-2022-119970;"6/26/2022";"7/2/2022";Classe padrão;MS-18220;Maria Silva;Varejo;Cidade do México;Distrito Federal;México;Norte;MAT-MA-10003141;Material de escritório;Materiais;Elite Cortador de papel, Industrial;"1443";5;"0";"360"
86;MX-2023-165925;"1/23/2023";"1/28/2023";Classe padrão;CG-12355;Carolina Goncalves;Varejo;Tuxtla Gutiérrez;Chiapas;México;Norte;MAT-PA-10002524;Material de escritório;Papel;Green Bar Cadernetas, Multicolorido;"367,2";3;"0";"102,6"
87;MX-2023-137365;"6/18/2023";"6/23/2023";Classe padrão;MP-18760;Matheus Pinto;Varejo;Piedras Negras;Coahuila;México;Norte;MAT-CO-10001542;Material de escritório;Colchetes;OIC Clips de papel, Embalagem tipo bulk;"769,6";8;"0";"99,2"
88;MX-2023-137365;"6/18/2023";"6/23/2023";Classe padrão;MP-18760;Matheus Pinto;Varejo;Piedras Negras;Coahuila;México;Norte;MÓV-MÓ-10000743;Móveis;Móveis;Eldon Peso de porta, Premium;"390,24";2;"0,4";-19,76
89;MX-2021-158981;"12/29/2021";"1/2/2022";Classe padrão;TA-20845;Thaís Alves;Varejo;Tijuana;Baixa Califórnia;México;Norte;TEC-AC-10003695;Tecnologia;Acessórios;Memorex Teclado, Econômico;"1426,8";3;"0";"327,6"
90;MX-2021-158981;"12/29/2021";"1/2/2022";Classe padrão;TA-20845;Thaís Alves;Varejo;Tijuana;Baixa Califórnia;México;Norte;MÓV-ES-10000469;Móveis;Estantes;Dania Biblioteca, Preto;"5820";3;"0,2";"2182,2"
91;MX-2021-158981;"12/29/2021";"1/2/2022";Classe padrão;TA-20845;Thaís Alves;Varejo;Tijuana;Baixa Califórnia;México;Norte;MAT-FI-10002102;Material de escritório;Fichários;Ibico Reforço para fichário, Econômico;"419,4";9;"0";"0"
92;MX-2021-158981;"12/29/2021";"1/2/2022";Classe padrão;TA-20845;Thaís Alves;Varejo;Tijuana;Baixa Califórnia;México;Norte;MAT-EN-10002793;Material de escritório;Envelopes;Ames Com lacre, Prata;"2550";10;"0";"918"
93;MX-2022-169292;"4/24/2022";"4/28/2022";Classe padrão;AF-10780;Anna Ferreira;Grande Empresa;Chihuahua;Chihuahua;México;Norte;MAT-PA-10000782;Material de escritório;Papel;Xerox Cadernetas, Embalagem com 12;"589";5;"0";"153"
94;MX-2022-169292;"4/24/2022";"4/28/2022";Classe padrão;AF-10780;Anna Ferreira;Grande Empresa;Chihuahua;Chihuahua;México;Norte;MAT-EN-10002322;Material de escritório;Envelopes;Kraft Envelope kraft, Conjunto de 50;"883";5;"0";"88"
95;MX-2022-169292;"4/24/2022";"4/28/2022";Classe padrão;AF-10780;Anna Ferreira;Grande Empresa;Chihuahua;Chihuahua;México;Norte;MAT-CO-10000354;Material de escritório;Colchetes;Stockwell Percevejo niquelado, Metal;"176,8";2;"0";"22,8"
96;MX-2020-112319;"4/20/2020";"4/26/2020";Classe padrão;KB-16465;Kauê Barbosa;Varejo;Natal;Rio Grande do Norte;Brasil;Sul;MÓV-ES-10001958;Móveis;Estantes;Dania Par, Preto;"5759,6";7;"0";"1208,2"
97;MX-2020-112319;"4/20/2020";"4/26/2020";Classe padrão;KB-16465;Kauê Barbosa;Varejo;Natal;Rio Grande do Norte;Brasil;Sul;TEC-AC-10001104;Tecnologia;Acessórios;Enermax Pen drive, Econômico;"553,6";2;"0";"16,4"
98;MX-2020-149986;"10/22/2020";"10/26/2020";Classe padrão;ÁC-10075;Ágatha Correia;Grande Empresa;Managua;Managua;Nicarágua;Central;MAT-AR-10004870;Material de escritório;Armazenamento;Smead Pratelheiras, Metal;"960";3;"0";"48"
99;US-2022-125892;"8/9/2022";"8/11/2022";Primeira classe;MA-18400;Marisa Almeida;Varejo;Santo Domingo;Distrito Nacional;República Dominicana;Caribe;MÓV-CA-10003783;Móveis;Cadeiras;Office Star Cadeira de praia, Par;"923,04";3;"0,2";-35,16
100;US-2022-125892;"8/9/2022";"8/11/2022";Primeira classe;MA-18400;Marisa Almeida;Varejo;Santo Domingo;Distrito Nacional;República Dominicana;Caribe;MAT-PA-10002996;Material de escritório;Papel;Eaton Resma, Premium;"849,6";6;"0,2";-54
101;MX-2022-158533;"12/14/2022";"12/19/2022";Segunda classe;JG-15850;Julian Gomes;Varejo;Mixco;Guatemala;Guatemala;Central;TEC-AC-10003185;Tecnologia;Acessórios;Logitech Roteador, Econômico;"4946,4";3;"0";"1978,2"
